id,code,name
op_university_385,UAEM,Universidad Autónoma del Estado de Morelos
op_university_386,UAEH,Universidad Autónoma del Estado de Hidalgo
op_university_387,UMECIT,"Universidad Metropolitana de Educación, Ciencia y Tecnología"
op_university_388,UMER,Universidad Mercurio
op_university_389,UMeso,Universidad Mesoamericana
op_university_390,TBC,Tecnológico de Baja California
op_university_391,SFU,Siberian Federal University
op_university_392,SEK,Universidad SEK de Segovia
op_university_393,umtlax,Universidad Metropolitana de Tlaxcala
op_university_394,UMU,Universidad Mundial
op_university_395,UMurcia,de Murcia
op_university_396,MU,Mondragon Unibertsitatea
op_university_397,MSR,Musrara
op_university_398,MODE,Universidad Modelo
op_university_399,UNCR,Universidad Nacional de Costa Rica
op_university_400,UNDBEL,Universidad de Belgrano
op_university_401,UNE,Universidad UNE Allende
op_university_402,LCUS,La Corporación Universitaria de Santander
op_university_403,LCUI,La Corporación Universitaria Iberoamericana
op_university_404,LBUAP,La Benemérita Universidad Autónoma de Puebla
op_university_405,UNIP,Universidad Estatal Paulista
op_university_406,UNIPAU,Universidad Internacional de la Paz
op_university_407,UNIPD,Università Degli Studi Di Padova
op_university_408,ISMC,"Instituto Superior Pedagógico de Matanzas, Cuba"
op_university_409,ISM,IS María de Fallas
op_university_410,ISFD,Instituto Superior De Formación Docente y Técnica
op_university_411,UOviedo,de Oviedo
op_university_412,UOX,University of Oxford
op_university_413,UP,Universidad de Panamá
op_university_414,IES Alamo,IES El Alamo
op_university_415,IES,IES Tomás Navarro
op_university_416,ICT,ICT - Catholic Institute of Toulouse
op_university_417,UPN,Pública de Navarra
op_university_418,UPNac,Universidad Pedagógica Nacional
op_university_419,UPNFM,Universidad Pedagógica Nacional Francisco Morazán
op_university_420,FECR,Fundación Escuela Colombiana de Rehabilitación
op_university_421,FDD,Fundación Deporte & Desafío
op_university_422,FCF,Federación Catalana de Fútbol
op_university_423,URM,Universidad Regiomontana
op_university_424,UROCO,Universidad Rollins College
op_university_425,URos,Universidad del Rosario
op_university_426,ENSB,Escuela Normal Superior del Estado de Baja California
op_university_427,ENS,Escuela Normal Superior del Istmo de Tehuantepec
op_university_428,ENPE,"Escuela Normal Particular ""Colegio Ensenada"""
op_university_429,USC,Universidad de Santiago de Compostela
op_university_430,USCG,Universidad San Carlos de Guatemala
op_university_431,USDB,Universidad Salesiana de Bolivia
op_university_432,EFL,"Escuela superior de formación artisica ""Francisco Laso"""
op_university_433,EEP,Escuela de Especialización Psicopedagógica
op_university_434,EATG,Escuela Ateneo Metropolitano de Guadalajara
op_university_435,UT,Universidad de Texas
op_university_436,UTA,Universidad Tecnológica América
op_university_437,UTAmb,Universidad Técnica de Ambato
op_university_438,CSM,Conservatorio Superior de Música de Castilla y León
op_university_439,CSIS,College of Staten Island
op_university_440,CSI,Conservatorio Superior de Música y Danza
op_university_441,UTPL,Universidad Técnica Particular de Loja
op_university_442,UTR,Universidada de Talavera de la Reina
op_university_443,UTRB,Universidad del Turabo
op_university_444,CESMG,Centro de Estudios Superiores María Goretti
op_university_445,CESAG,Centro de Enseñanza Superior Alberta Giménez
op_university_446,CES XXI,Centro Educativo Siglo XXI
op_university_447,UVitoria,de Vitoria
op_university_448,UVLL,Universidad del Valle
op_university_449,UVM,Universidad del Valle de México
op_university_450,UVP,Universidad del Valle de Parras
op_university_451,UVS,Universidad de Varsovia
op_university_452,UW,Universidad de Breslavia
op_university_453,UWH,Universidad Westhill
op_university_454,UX,Universidad de Xalapa
op_university_455,UZaragoza,de Zaragoza
op_university_456,VESA,Vesalius College Brussels
op_university_457,ADP,Universidad Autónoma de Paraguay
